date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:01:12	92437/92437	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202024%2017:01:12%20GMT	https://boycottsadaf.com/	C:/My%20Web%20Sites/clone/boycottsadaf.com/index.html	(from )
10:01:12	349/349	---MCZ	200	added ('OK')	text/plain	date:Tue,%2002%20Apr%202024%2017:01:12%20GMT	https://boycottsadaf.com/robots.txt		(from )
10:01:13	38/38	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202024%2017:01:13%20GMT	https://boycottsadaf.com/remote-login.php?wpcom_remote_login=validate	C:/My%20Web%20Sites/clone/boycottsadaf.com/remote-login4f98.html	(from https://boycottsadaf.com/)
10:01:13	3093/3093	---MCZ	200	added ('OK')	application/rss+xml	date:Tue,%2002%20Apr%202024%2017:01:13%20GMT	https://boycottsadaf.com/feed/	C:/My%20Web%20Sites/clone/boycottsadaf.com/feed/index.html	(from https://boycottsadaf.com/)
10:01:13	335465/335465	---MCZ	200	added ('OK')	text/css	etag:W/335533-1705430317867.6487	https://widgets.wp.com/verbum-block-editor/block-editor.css?ver=1705430309	C:/My%20Web%20Sites/clone/widgets.wp.com/verbum-block-editor/block-editor0a16.css	(from https://boycottsadaf.com/)
10:01:13	894/894	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%222e34b53de88d42ab50e909ca4efd42e5%22	https://boycottsadaf.com/comments/feed/	C:/My%20Web%20Sites/clone/boycottsadaf.com/comments/feed/index.html	(from https://boycottsadaf.com/)
10:01:13	2732/2732	---MCZ	200	added ('OK')	text/css	etag:W/3821-1684461284410.043	https://s0.wp.com/wp-content/themes/pub/varia/print.css?m=1571655471i&cssminify=yes	C:/My%20Web%20Sites/clone/s0.wp.com/wp-content/themes/pub/varia/print2d49.css	(from https://boycottsadaf.com/)
10:01:13	37496/37496	---MCZ	200	added ('OK')	text/css	etag:W/%226466e58c-9278%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/comment-likes/css/comment-likes.css,/i/noticons/noticons.css?m=1436783281j&cssminify=yes	C:/My%20Web%20Sites/clone/s1.wp.com/_static/indexba1f.html	(from https://boycottsadaf.com/)
10:01:13	369/369	---M--	200	added ('OK')	text/css	etag:%226466d6c8-171%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	C:/My%20Web%20Sites/clone/s1.wp.com/_static/indexd02a.html	(from https://boycottsadaf.com/)
10:01:14	81824/81824	---MCZ	200	added ('OK')	text/css	etag:W/107543-1691491250593.2986	https://s0.wp.com/wp-content/themes/pub/alves/style.css?m=1691491246i&cssminify=yes	C:/My%20Web%20Sites/clone/s0.wp.com/wp-content/themes/pub/alves/style8880.css	(from https://boycottsadaf.com/)
10:01:14	311/311	---M--	200	added ('OK')	text/css	etag:W/471-1684465140986.6213	https://s2.wp.com/wp-content/themes/h4/global.css?m=1420737423i&cssminify=yes	C:/My%20Web%20Sites/clone/s2.wp.com/wp-content/themes/h4/globalf753.css	(from https://boycottsadaf.com/)
